Year,Hit,No.,Title,Artist(s)
1992,1,98,"""Let's Get Rocked""","Def Leppard
"
1992,1,99,"""They Want EFX""","Das EFX
"
1992,1,100,"""I Can't Make You Love Me""","Bonnie Raitt
"
1993,1,1,"""I Will Always Love You""","Whitney Houston
"
1993,1,2,"""Whoomp! (There It Is)""","Tag Team
"
1993,1,3,"""Can't Help Falling in Love""","UB40
"
1993,1,4,"""That's the Way Love Goes""","Janet Jackson
"
1993,1,5,"""Freak Me""","Silk
"
1993,1,6,"""Weak""","SWV
"
1993,1,7,"""If I Ever Fall in Love""","Shai
"
1993,1,8,"""Dreamlover""","Mariah Carey
"
1993,1,9,"""Rump Shaker""","Wreckx-n-Effect
"
1993,1,10,"""Informer""","Snow
"
1993,1,11,"""Nuthin' but a 'G' Thang""","Dr. Dre
"
1993,1,12,"""In the Still of the Nite""","Boyz II Men
"
1993,1,13,"""Don't Walk Away""","Jade
"
1993,1,14,"""Knockin' da Boots""","H-Town
"
1993,1,15,"""Lately""","Jodeci
"
1993,1,16,"""Dazzey Duks""","Duice
"
1993,1,17,"""Show Me Love""","Robin S.
"
1993,1,18,"""A Whole New World""","Peabo Bryson and Regina Belle
"
1993,1,19,"""If""","Janet Jackson
"
1993,1,20,"""I'm So Into You""","SWV
"
1993,1,21,"""Love Is""","Vanessa Williams and Brian McKnight
"
1993,1,22,"""Runaway Train""","Soul Asylum
"
1993,1,23,"""I'll Never Get Over You (Getting Over Me)""","Exposé
"
1993,1,24,"""Ditty""","Paperboy
"
1993,1,25,"""Rhythm Is a Dancer""","Snap!
"
1993,1,26,"""The River of Dreams""","Billy Joel
"
1993,1,27,"""I'm Gonna Be (500 Miles)""","The Proclaimers
"
1993,1,28,"""Two Princes""","Spin Doctors
"
1993,1,29,"""Right Here (Human Nature)"" / ""Downtown""","SWV
"
1993,1,30,"""I Have Nothing""","Whitney Houston
"
1993,1,31,"""Mr. Wendal""","Arrested Development
"
1993,1,32,"""Have I Told You Lately""","Rod Stewart
"
1993,1,33,"""Saving Forever for You""","Shanice
"
1993,1,34,"""Ordinary World""","Duran Duran
"
1993,1,35,"""If I Had No Loot""","Tony! Toni! Toné!
"
1993,1,36,"""I'd Do Anything for Love (But I Won't Do That)""","Meat Loaf
"
1993,1,37,"""Slam""","Onyx
"
1993,1,38,"""Looking Through Patient Eyes""","P.M. Dawn
"
1993,1,39,"""I'm Every Woman""","Whitney Houston
"
1993,1,40,"""Baby I'm Yours""","Shai
"
1993,1,41,"""Come Undone""","Duran Duran
"
1993,1,42,"""I Don't Wanna Fight""","Tina Turner
"
1993,1,43,"""I'd Die Without You""","P.M. Dawn
"
1993,1,44,"""Whoot, There It Is""","95 South
"
1993,1,45,"""Hip Hop Hooray""","Naughty by Nature
"
1993,1,46,"""Another Sad Love Song""","Toni Braxton
"
1993,1,47,"""Will You Be There""","Michael Jackson
"
1993,1,48,"""Comforter""","Shai
"
1993,1,49,"""Good Enough""","Bobby Brown
"
1993,1,50,"""What's Up?""","4 Non Blondes
"
1993,1,51,"""All That She Wants""","Ace of Base
"
1993,1,52,"""7""","Prince and The New Power Generation
"
1993,1,53,"""Dre Day""","Dr. Dre
"
1993,1,54,"""One Last Cry""","Brian McKnight
"
1993,1,55,"""Just Kickin' It""","Xscape
"
1993,1,56,"""I Get Around""","2Pac
"
1993,1,57,"""Bed of Roses""","Bon Jovi
"
1993,1,58,"""Real Love""","Mary J. Blige
"
1993,1,59,"""Here We Go Again!""","Portrait
"
1993,1,60,"""Cryin'""","Aerosmith
"
1993,1,61,"""Cat's in the Cradle""","Ugly Kid Joe
"
1993,1,62,"""What About Your Friends""","TLC
"
1993,1,63,"""I Got a Man""","Positive K
"
1993,1,64,"""Hey Mr. D.J.""","Zhané
"
1993,1,65,"""Insane in the Brain""","Cypress Hill
"
1993,1,66,"""Deeper and Deeper""","Madonna
"
1993,1,67,"""Rain""","Madonna
"
1993,1,68,"""The Right Kind of Love""","Jeremy Jordan
"
1993,1,69,"""Bad Boys""","Inner Circle
"
1993,1,70,"""That's What Love Can Do""","Boy Krazy
"
1993,1,71,"""Do You Believe in Us""","Jon Secada
"
1993,1,72,"""Angel""","Jon Secada
"
1993,1,73,"""Forever in Love""","Kenny G
"
1993,1,74,"""Again""","Janet Jackson
"
1993,1,75,"""Boom! Shake the Room""","DJ Jazzy Jeff & The Fresh Prince
"
1993,1,76,"""When She Cries""","Restless Heart
"
1993,1,77,"""Sweat (A La La La La Long)""","Inner Circle
"
1993,1,78,"""It Was a Good Day""","Ice Cube
"
1993,1,79,"""More and More""","Captain Hollywood Project
"
1993,1,80,"""How Do You Talk to an Angel""","The Heights
"
1993,1,81,"""Rebirth of Slick (Cool Like Dat)""","Digable Planets
"
1993,1,82,"""What Is Love""","Haddaway
"
1993,1,83,"""To Love Somebody""","Michael Bolton
"
1993,1,84,"""Give It Up, Turn It Loose""","En Vogue
"
1993,1,85,"""Alright""","Kris Kross featuring Super Cat
"
1993,1,86,"""Check Yo Self""","Ice Cube featuring Das EFX
"
1993,1,87,"""Fields of Gold""","Sting
"
1993,1,88,"""Ooh Child""","Dino
"
1993,1,89,"""Faithful""","Go West
"
1993,1,90,"""Reason to Believe""","Rod Stewart
"
1993,1,91,"""Break It Down Again""","Tears for Fears
"
1993,1,92,"""Nothin' My Love Can't Fix""","Joey Lawrence
"
1993,1,93,"""Three Little Pigs""","Green Jellÿ
"
1993,1,94,"""Livin' on the Edge""","Aerosmith
"
1993,1,95,"""Hey Jealousy""","Gin Blossoms
"
